compound ,detected,source,solvent,,,,,,,,,,,,,,,,,,,,,,,,,
genipin,1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
haloperidol,1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"(-)-isoproterenol hydrochloride	",1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
dopamine,1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
picrotin,1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
genipin,1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 282 or 294,1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
bakuchiol,1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,16,17-triol	",1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"dichloroisoproterenol hydrochloride	",1,Laurel Sumac Buds,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"indole-3-carboxaldehyde	",1,Laurel Sumac Buds,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 291,1,Laurel Sumac Buds,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
sinapinic acid,1,Laurel Sumac Buds,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
chelidonic acid,1,Laurel Sumac Buds,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
p-coumaric acid,1,Laurel Sumac Buds,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
paeonol,1,Laurel Sumac Buds,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
p-coumaryl alcohol,1,Laurel Sumac Buds,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
pterostilbene,1,Laurel Sumac Buds,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"5-hydroxy-2-(hydroxymethyl)pyran-4-one	",1,Laurel Sumac Buds,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
syringaldehyde,1,Laurel Sumac Buds,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
tetrahydrobiopterin,1,Laurel Sumac Buds,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"dihydro-sinapyl alcohol	",1,Laurel Sumac Buds,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
ellipticine,1,Laurel Sumac Buds,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
magnolin,1,Laurel Sumac Buds,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
picrotin or dopamine,1,Laurel Sumac Buds,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 294,1,Laurel Sumac Buds,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
haloperidol or zeatin,1,Laurel Sumac Buds,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 296,1,Laurel Sumac Buds,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"dichloroisoproterenol hydrochloride	",1,Laurel Sumac Buds,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"indole-3-carboxaldehyde	",1,Laurel Sumac Buds,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 291,1,Laurel Sumac Buds,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
sinapinic acid,1,Laurel Sumac Buds,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
chelidonic acid,1,Laurel Sumac Buds,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
p-coumaric acid,1,Laurel Sumac Buds,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
paeonol,1,Laurel Sumac Buds,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
p-coumaryl alcohol,1,Laurel Sumac Buds,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
pterostilbene,1,Laurel Sumac Buds,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"5-hydroxy-2-(hydroxymethyl)pyran-4-one	",1,Laurel Sumac Buds,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
syringaldehyde,1,Laurel Sumac Buds,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
tetrahydrobiopterin,1,Laurel Sumac Buds,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"dihydro-sinapyl alcohol	",1,Laurel Sumac Buds,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
ellipticine,1,Laurel Sumac Buds,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
magnolin,1,Laurel Sumac Buds,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
picrotin or dopamine,1,Laurel Sumac Buds,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 294,1,Laurel Sumac Buds,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
haloperidol and zeatin,1,Laurel Sumac Buds,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 296,1,Laurel Sumac Buds,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
diphenylacetic acid or 9-fluorenone,1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"2-(3,4-Dimethoxyphenyl)-7-methoxy-3-methyl-5-propyl-2,3-dihydrobenzofuran or p-hydroxyacetophenone or p-hydroxybenzaldehyde",1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
veratrone,1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
syringylresinol,1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"3-hydroxy-2-methyl-4-pyrone	",1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
3-methylbenzyl alcohol,1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"4-methylbenzyl alcohol	",1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
3-methylindole,1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
phenyl acetate,1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
h-b-h5t ot acetylated isoeugenol or ethyl acetoacetate or h-b-s-oh or 2-methylbenzyl alcohol,1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 288,1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"ethyl 4-aminobutyrate	",1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
metaldehyde,1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 296,1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 282,1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
terpinolene,1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
alpha-pinene-oxide,1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 275 or 292,1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
squalene,1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 3026,1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"lignin cw 131 or 34 or 264 or 132 or 1-(3,4-dimethoxyphenyl)ethanol or 1-(4-hydroxy-3,5-dimethoxyphenyl)ethanol or apocynol",1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
p-cymene,1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
beta-carotene,1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"4-methylvaleric acid	",1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 296,1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
1-octanol,1,Laurel Sumac Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
syringic acid,1,Laurel Sumac Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"cis-fenpropimorph	",1,Laurel Sumac Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"2-methylnaphthalene-1,4-dione	",1,Laurel Sumac Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"5-[(e)-2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol	",1,Laurel Sumac Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
daidzein,1,Laurel Sumac Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"5-[(e)-2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol	",1,Laurel Sumac Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
biphenyl methane,1,Laurel Sumac Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
bakuchiol,1,Laurel Sumac Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"(-)-epicatechin	",1,Laurel Sumac Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
vanillic acid,1,Laurel Sumac Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
cardamonin,1,Laurel Sumac Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 295,1,Laurel Sumac Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one	",1,Laurel Sumac Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 31,1,Laurel Sumac Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"6'-sialyllactose sodium salt	",1,Laurel Sumac Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
l-thyroxine,1,Laurel Sumac Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
dopamine,1,Laurel Sumac Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
picrotin,1,Laurel Sumac Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"p-hydroxyacetophenone	",1,Laurel Sumac Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
genipin,1,Laurel Sumac Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
haloperidol,1,Laurel Sumac Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lapachol,1,Laurel Sumac Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
tanshinone iia,1,Laurel Sumac Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
probucol,1,Laurel Sumac Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 294 ,1,Laurel Sumac Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"2-thiophenecarboxylic acid	",1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
9-fluorenone or diphenylacetic acid,1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2,3-trimethoxybenzene",1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"p-methoxybenzyl alcohol or 3,4-dimethoxybenzyl alcohol or methyl p-Coumarate or methyl 3,4-dimethoxycinnamate	",1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 21,1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
syringaldehyde,1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"3-hydroxy-2-methyl-4-pyrone	",1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
retinoic acid,1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
2-methylbenzyl alcohol,1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
acetylated acetovanillone or acetylated ferulic acid,1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"1-(3,5-dimethoxy-4-acetoxyphenyl)-2-propene or acetylated coumaric acid	",1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
phenyl acetate or 4-acetoxybenzyl acetate or acetylated eugenol,1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"3-methylsalicylaldehyde	",1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
h-b-h5e,1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
retinoic acid,1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 86,1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 290,1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
squalene,1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"1-(4-hydroxyphenyl)ethanol	",1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 291,1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"ethyl 4-aminobutyrate	",1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 293,1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 293,1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 3026,1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 290,1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
1-octanol,1,White Sage Buds ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"sparstolonin b	",1,White Sage Buds ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"vanillic acid	",1,White Sage Buds ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
formononetin,1,White Sage Buds ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
coniferaldehyde,1,White Sage Buds ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
dopamine,1,White Sage Buds ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"3-(4-hydroxyphenyl)propionic acid	",1,White Sage Buds ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"p-coumaryl alcohol	",1,White Sage Buds ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
cardamonin,1,White Sage Buds ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 295 or syringaldehyde,1,White Sage Buds ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
scopoletin or sinapaldehyde,1,White Sage Buds ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"5-methoxytryptamine	",1,White Sage Buds ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
3-ureidopropionic acid,1,White Sage Buds ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"dichloroisoproterenol hydrochloride	",1,White Sage Buds ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
dopamine,1,White Sage Buds ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
genipin,1,White Sage Buds ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
tanshinone iia,1,White Sage Buds ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
atrazine,1,White Sage Buds ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"2-thiophenecarboxylic acid	",1,White Sage Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
9-fluorenone or diphenylacetic acid,1,White Sage Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
veratrylglycerol-b-guaiacyl ether,1,White Sage Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"3,4-dimethoxybenzyl alcohol or methyl p-coumarate or methyl 3,4-dimethoxycinnamate	",1,White Sage Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"p-methoxy coumaryl alcohol	",1,White Sage Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"5-methoxypsoralen	",1,White Sage Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"2-hydroxyethyl salicylate	",1,White Sage Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
syringaldehyde,1,White Sage Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"p-methoxy coumaryl alcohol	",1,White Sage Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"4-acetoxycinnamic acid 3-acetoxy-3-(4-acetoxy- 3-methoxyphenyl)-2-(2-methoxyphenoxy)propyl ester	",1,White Sage Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"p-methoxybenzyl alcohol	",1,White Sage Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"2-(4-acetyl-2-methoxyphenoxy)-1-(3,4,5-trimethoxyphenyl)ethanone	",1,White Sage Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"2-methylnaphthalene	",1,White Sage Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
acetylated eugenol,1,White Sage Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"3-methylsalicylaldehyde	",1,White Sage Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"4-acetoxybenzyl acetate	",1,White Sage Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
Isoeugenol,1,White Sage Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"epsilon-caprolactone	",1,White Sage Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"1-(4-hydroxyphenyl)ethanol	",1,White Sage Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
cyclohexane,1,White Sage Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
butyraldehyde,1,White Sage Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
vanillic acid,1,White Sage Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one	",1,White Sage Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
coniferyl alcohol,1,White Sage Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"p-coumaryl alcohol	",1,White Sage Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"sinapyl alcohol	",1,White Sage Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"dehydrodiveratric acid	",1,White Sage Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"dihydro-sinapyl alcohol	",1,White Sage Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lapachol,1,White Sage Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
colchicine,1,White Sage Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
cordycepin,1,White Sage Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"3,16,17-trihydroxy-13-methyl-8,9,11,12,14,15,16,17-octahydro-7H-cyclopenta[a]phenanthren-6-one	",1,White Sage Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"(-)-isoproterenol hydrochloride	",1,White Sage Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
atrazine,1,White Sage Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lovastatin,1,White Sage Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 294,1,White Sage Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 284,1,White Sage Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
9-fluorenone or diphenylacetic acid,1,Sage Scrub,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"4-methoxycinnamic acid	",1,Sage Scrub,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"1-(4-acetoxy-3,5-dimethoxyphenyl)-2-(4-acetylphenoxy)-3-hydroxypropan-1-one	",1,Sage Scrub,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"1-(4-acetoxy-3,5-dimethoxyphenyl)-2-(4-acetylphenoxy)-3-hydroxypropan-1-one	",1,Sage Scrub,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"syringaldehyde or 2-(4-acetyl-2-methoxyphenoxy)-1-(3,4,5-trimethoxyphenyl)ethanone	",1,Sage Scrub,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"syringyl alcohol	",1,Sage Scrub,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"3-isochromanone	",1,Sage Scrub,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
3-hydroxy-2-methyl-4-pyrone,1,Sage Scrub,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"phenyl acetate	",1,Sage Scrub,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"3-methylsalicylaldehyde	",1,Sage Scrub,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
o-xylene,1,Sage Scrub,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 295,1,Sage Scrub,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 86,1,Sage Scrub,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 275 or 292,1,Sage Scrub,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 295,1,Sage Scrub,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"1-(4-hydroxyphenyl)ethanol	",1,Sage Scrub,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 291,1,Sage Scrub,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 2047,1,Sage Scrub,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 2048,1,Sage Scrub,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
g-5-o-4-g,1,Sage Scrub,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 275 or 292,1,Sage Scrub,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
biphenyl methane or lignin cw 3027,1,Sage Scrub,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
g-5-o-4-g,1,Sage Scrub,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
6-hydroxyflavanone,1,Sage Scrub,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
neohesperidin,1,Sage Scrub,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
neohesperidin,1,Sage Scrub,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 285,1,Sage Scrub,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 288,1,Sage Scrub,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
bilirubin,1,Sage Scrub,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"sodium (10,13-dimethyl-17-oxo-1,2,3,4,5,6,7,8,9,11,12,14,15,16-tetradecahydrocyclopenta[a]phenanthren-3-yl) sulfate",1,Sage Scrub,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"sodium glycochenodeoxycholate	",1,Sage Scrub,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
dihydro-coniferyl alcohol,1,Sage Scrub,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
ldcast,1,Sage Scrub,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 293,1,Sage Scrub,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 290,1,Sage Scrub,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
patchouli alcohol,1,Sage Scrub,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
phenanthrene,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"3-nitrofluoranthene	",1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"o-tolualdehyde	",1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"o-tolualdehyde	",1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
biphenyl,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
p-tolualdehyde,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
9-fluorenone,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2,3,4-tetrahydronaphthalene	",1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
dihydrocoumaric acid,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"veratrylglycerol-b-guaiacyl ether	",1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 284,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"p-anisic acid	",1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"4-methoxycinnamic acid	",1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"ethyl 4-hydroxybenzoate	",1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"anisole or 4-methoxyacetophenone	",1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
veratrole or cis-coniferyl alcohol,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
flavone,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"3,4-dimethoxybenzyl alcohol or p-hydroxybenzyl alcohol or dihydroferulic acid	",1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 135,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 21,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 3,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"cis-1,3-dichloropropene	",1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 21,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 2046,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
erone,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
syringaldehyde,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"syringylglycol-b-guaiacyl ether	",1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 285,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
guaiacylglycerol-b-guaiacyl ether or guaiacol,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"dehydrodiisoeugenol	",1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"3-hydroxy-2-methyl-4-pyrone	",1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
